"chamber","district_number","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","pct_D_20_PRES","pct_D_22_SEN","pct_D_22_GOV","pct_D_24_PRES","pct_D_24_SEN","pct_R_20_PRES","pct_R_22_SEN","pct_R_22_GOV","pct_R_24_PRES","pct_R_24_SEN","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
"House",51,83721,47002,18740,3339,782,92,154034,0.543522858589662,0.305140423542854,0.12166145136788,0.0216770323435086,0.00567407195813911,"CVAP",24,0.417361225003569,0.569679280880413,"R",15.2,15.2,0.462875420400292,0.393099628359062,0.380600742009132,0.426112886048988,0.426032353037035,0.525729673792893,0.594089479702687,0.611979166666667,0.562151224707135,0.555520549284605,1638,59,63
"House",52,148971,11531,11818,1949,1121,35,175580,0.848450848616015,0.0656737669438433,0.0673083494703269,0.011100353115389,0.00658389338193416,"CVAP",24,0.291168436335962,0.699969732714314,"R",40.9,40.9,0.313187084864767,0.276254362507365,0.262775440025338,0.300380481943795,0.298516863368475,0.679742224712805,0.716539001948964,0.733776752183159,0.690259513902795,0.68836135146889,1661,11,110
"House",53,113456,20103,6064,2567,1116,149,143651,0.789803064371289,0.139943334888027,0.0422134200249215,0.0178696980877265,0.0088060646984706,"CVAP",24,0.321341516549173,0.66521397167935,"R",34.4,34.4,0.34731969838449,0.3074337146885,0.299430673320081,0.313531977612683,0.339734824313511,0.642077572617649,0.679200780784037,0.694876059880725,0.67636982890832,0.637333252301802,1673,22,99
"House",54,98992,29530,14731,5721,1219,62,150732,0.656741766844466,0.19591062282727,0.0977297455085848,0.0379547806703288,0.00849852718732585,"CVAP",24,0.396518285071105,0.586520750852922,"R",19,19,0.427844076608269,0.373693924113176,0.362587443035035,0.402874020220379,0.40994930108613,0.559770991546452,0.612166305785244,0.63001073989144,0.581032981180658,0.563383262624222,1650,48,73
"House",55,110131,22040,9001,5346,909,28,147950,0.744379858060155,0.148969246367016,0.0608381209868199,0.0361338289962825,0.00633322068266306,"CVAP",24,0.353862741833212,0.631927766184507,"R",27.8,27.8,0.382843829966008,0.335190490704054,0.324504197590948,0.358558084462571,0.365303483030817,0.60389374785166,0.652337701920146,0.669704343594111,0.628136648686576,0.613075859608438,15622,36,85
"House",56,109995,17370,6856,2110,969,92,137509,0.799911278534496,0.126319004574246,0.0498585547127824,0.0153444501814427,0.00771585859834629,"CVAP",24,0.36183130450023,0.621092820519534,"R",25.9,25.9,0.390198895156675,0.348361140693409,0.33593526089522,0.356256907773548,0.379703921347045,0.595646029688285,0.635664418412022,0.655888055297985,0.630971386466904,0.591642495699451,1630,40,81
"House",57,123582,11056,6396,3541,673,83,145390,0.850003439026068,0.0760437444115826,0.0439920214595227,0.0243551826122842,0.0051998074145402,"CVAP",24,0.406780732495565,0.580868980792529,"R",17.4,17.4,0.432962635763654,0.394417073547931,0.383300098053257,0.41044202434337,0.414167115502479,0.554903081640077,0.592757881713541,0.611620963566054,0.576699917635216,0.569229054844641,1639,52,69
"House",58,107299,14707,11464,3673,833,48,138005,0.777500815187856,0.106568602586863,0.0830694540052897,0.0266149777181986,0.00638382667294663,"CVAP",24,0.43063459188862,0.555664304787737,"R",12.5,12.5,0.467189750211054,0.416153724747475,0.408281540922561,0.432550443044732,0.436262677649453,0.519352435814669,0.568076599326599,0.58555581779561,0.553186719333832,0.546180739714462,1775,64,57
"House",59,114309,13739,10647,4910,1213,109,145087,0.787865211907338,0.0946949071936149,0.0733835560732526,0.0338417639071729,0.00911177431472151,"CVAP",24,0.415356079809171,0.570133538792094,"R",15.5,15.5,0.441197872362231,0.400554609851189,0.394423237422868,0.413278681240558,0.427708599103625,0.545929714162729,0.582546263247488,0.598503194735186,0.573313782991202,0.551970557355581,14051,57,64
"House",60,108873,13755,11121,9160,1160,128,144296,0.754511559571991,0.0953248877307756,0.0770707434717525,0.0634806231634973,0.00892609635748739,"CVAP",24,0.526346304966227,0.457631372372013,"D",6.9,-6.9,0.54834704486953,0.523326515947156,0.517262757632536,0.524924702082151,0.527496622444686,0.43601675667491,0.459758996185949,0.475821117601675,0.45833515212362,0.451296759761689,1663,93,28
"House",61,119025,11743,6323,6143,1147,84,144569,0.823309284839765,0.0812276490810616,0.043736900718688,0.0424918205147715,0.00851496517233985,"CVAP",24,0.450179993432967,0.53614844625715,"R",8.6,8.6,0.46759858087882,0.439639294854929,0.435068885310431,0.450784795286175,0.457356634038846,0.519669980413171,0.545351256966537,0.558967018548339,0.53551034433967,0.523999385025368,1698,71,50
"House",62,51232,24231,48640,3079,1036,91,128744,0.397936991238427,0.188210712732244,0.377804014167651,0.0239156776238116,0.00875380600260983,"CVAP",24,0.66874815808155,0.315102413024122,"D",35.4,-35.4,0.715133197617055,0.679746580852776,0.66792445256207,0.661523070808951,0.657394561598224,0.269679901085314,0.305410297666935,0.322521726913273,0.322265009387291,0.321365149833518,1655,111,10
