"chamber","party","rank_partisan_leg_D","rank_partisan_leg_R","legislator_name","district_number","leg_party_loyalty","leg_n_votes_denom_loyalty"
"House","R",NA,79,"Paul Renner",19,0.989962358845671,797
"House","R",NA,80,"Jennifer Carroll",13,0.989473684210526,95
"House","R",NA,81,"Ralph Poppell",29,0.989473684210526,95
"House","R",NA,82,"Toby Overdorf",85,0.98943661971831,852
"House","R",NA,83,"Robert Schenck",35,0.989106753812636,459
"House","R",NA,84,"Scott Plakon",36,0.989065606361829,1006
"House","R",NA,85,"Jimmy Patronis",6,0.989010989010989,455
"House","R",NA,86,"Robert Olszewski",44,0.988636363636364,88
"House","R",NA,87,"Traci Koster",66,0.988429752066116,605
"House","R",NA,88,"Matt Hudson",80,0.988235294117647,595
"House","R",NA,89,"Clay Ford",2,0.988235294117647,340
"House","R",NA,90,"Rachel Burgin",56,0.988165680473373,338
"House","R",NA,91,"Jake Raburn",57,0.98792270531401,414
"House","R",NA,92,"Richard Corcoran",37,0.987915407854985,662
"House","R",NA,93,"Doug Bankson",39,0.987745098039216,408
"House","R",NA,94,"Travis Cummings",18,0.987522281639929,561
"House","R",NA,95,"Spencer Roach",76,0.9875,640
"House","R",NA,96,"Ana Logan",114,0.98728813559322,236
"House","R",NA,97,"Jose Oliva",110,0.986587183308495,671
"House","R",NA,98,"Tyler Sirois",31,0.985824742268041,776
"House","R",NA,99,"MaryLynn Magar",82,0.985585585585586,555
"House","R",NA,100,"Janet Adkins",11,0.985365853658537,615
"House","R",NA,101,"Charles McBurney",16,0.985270049099836,611
"House","R",NA,102,"Kim Kendall",18,0.985221674876847,203
"House","R",NA,103,"William Snyder",82,0.985163204747775,337
"House","R",NA,104,"Elizabeth Porter",10,0.985119047619048,672
"House","R",NA,105,"Marlene O'Toole",33,0.984822934232715,593
"House","R",NA,106,"Doug Holder",74,0.984444444444444,450
"House","R",NA,107,"Mike LaRosa",42,0.984042553191489,564
"House","R",NA,108,"J.J. Grow",23,0.983957219251337,187
"House","R",NA,109,"Chris Sprowls",65,0.98371335504886,614
"House","R",NA,110,"Dana Trabulsy",84,0.983633387888707,611
"House","R",NA,111,"James Grant",64,0.983448275862069,725
"House","R",NA,112,"Bryan Nelson",31,0.982905982905983,468
"House","R",NA,113,"Richard Gentry",27,0.982832618025751,233
"House","R",NA,114,"Rachel Plakon",36,0.982758620689655,406
"House","R",NA,115,"Jimmie Smith",34,0.982692307692308,520
"House","R",NA,116,"Will Robinson",71,0.982558139534884,860
"House","R",NA,117,"Danny Nix",75,0.982456140350877,228
"House","R",NA,118,"Demi Busatta Cabrera",114,0.982008995502249,667
"House","R",NA,119,"Larry Ahern",66,0.980797636632201,677
"House","R",NA,120,"Michelle Salzman",1,0.980740740740741,675
"House","R",NA,121,"Patt Maney",4,0.980225988700565,708
"House","R",NA,122,"Yvette Benarroch",81,0.979381443298969,194
"House","R",NA,123,"Dave Murzin",2,0.979381443298969,97
"House","R",NA,124,"Ron Reagan",67,0.979381443298969,97
"House","R",NA,125,"William Proctor",20,0.979351032448378,339
"House","R",NA,126,"Gary Aubuchon",74,0.979166666666667,336
"House","R",NA,127,"Sandra Adams",33,0.979166666666667,96
"House","R",NA,128,"Larry Cretul",22,0.978947368421053,95
"House","R",NA,129,"Michael Bileca",115,0.978787878787879,660
"House","R",NA,130,"Adam Hasner",87,0.978723404255319,94
