stateCode,year,nDistricts,planType,description,title,id,thumbnail,pendingCourtApproval,url,filename
AK,2022,40,lower,AK 2022 State House,AK 2022 State House,00c40e22-b9d4-4be4-b83c-0fe653360f1c,NA,FALSE,https://davesredistricting.org/maps#viewmap::00c40e22-b9d4-4be4-b83c-0fe653360f1c,AK_2022_lower.csv
AK,2022,20,upper,AK 2022 State Senate,AK 2022 State Senate,bdb0da36-3ec9-42ab-8971-643d667dbf6b,NA,FALSE,https://davesredistricting.org/maps#viewmap::bdb0da36-3ec9-42ab-8971-643d667dbf6b,AK_2022_upper.csv
AL,2022,105,lower,AL 2022 State House,AL 2022 State House,642e8d2a-248c-4191-a88a-a6cdad508cdb,NA,NA,https://davesredistricting.org/maps#viewmap::642e8d2a-248c-4191-a88a-a6cdad508cdb,AL_2022_lower.csv
AL,2022,35,upper,AL 2022 State Senate,AL 2022 State Senate,b694ea80-20d6-45fb-a0e2-09ddaa2880d5,NA,NA,https://davesredistricting.org/maps#viewmap::b694ea80-20d6-45fb-a0e2-09ddaa2880d5,AL_2022_upper.csv
AR,2022,100,lower,AR 2022 State House,AR 2022 State House,583730d5-1254-4dca-8f73-850940804307,NA,NA,https://davesredistricting.org/maps#viewmap::583730d5-1254-4dca-8f73-850940804307,AR_2022_lower.csv
AR,2022,35,upper,AR 2022 State Senate,AR 2022 State Senate,083cee53-0d0c-43af-ace1-863ccd3a2fe5,NA,NA,https://davesredistricting.org/maps#viewmap::083cee53-0d0c-43af-ace1-863ccd3a2fe5,AR_2022_upper.csv
AZ,2022,30,upper,AZ 2022 State Legislature,AZ 2022 State Legislature,72e34ca5-9ae1-4ddd-96f0-697bd261294e,NA,NA,https://davesredistricting.org/maps#viewmap::72e34ca5-9ae1-4ddd-96f0-697bd261294e,AZ_2022_upper.csv
CA,2022,80,lower,CA 2022 State House,CA 2022 State House,43cea5ab-ef0a-4946-b3e2-c3f2aaf73cf1,NA,NA,https://davesredistricting.org/maps#viewmap::43cea5ab-ef0a-4946-b3e2-c3f2aaf73cf1,CA_2022_lower.csv
CA,2022,40,upper,CA 2022 State Senate,CA 2022 State Senate,f0a4ed9d-205f-4122-abab-fa3c75b6b050,NA,NA,https://davesredistricting.org/maps#viewmap::f0a4ed9d-205f-4122-abab-fa3c75b6b050,CA_2022_upper.csv
CO,2022,65,lower,CO 2022 State House,CO 2022 State House,dee1f8ad-23c1-497b-859c-6d1a9293bbd5,NA,NA,https://davesredistricting.org/maps#viewmap::dee1f8ad-23c1-497b-859c-6d1a9293bbd5,CO_2022_lower.csv
