stateCode,year,nDistricts,planType,description,title,id,thumbnail,pendingCourtApproval,url
IN,2022,50,upper,IN 2022 State Senate,IN 2022 State Senate,f2d2e4a3-f50d-4f77-bc5d-027ba0e2717e,NA,NA,https://davesredistricting.org/maps#viewmap::f2d2e4a3-f50d-4f77-bc5d-027ba0e2717e
KS,115,4,congress,Districts for the 116th US Congress,KS 116th Congressional,e3fd663e-4c82-4d10-b11c-5d1f0c775b0b,1b20df18-9489-4e52-8058-f2f013f35286.png,NA,https://davesredistricting.org/maps#viewmap::e3fd663e-4c82-4d10-b11c-5d1f0c775b0b
KS,116,4,congress,Districts for the 116th US Congress,KS 116th Congressional,e3fd663e-4c82-4d10-b11c-5d1f0c775b0b,1b20df18-9489-4e52-8058-f2f013f35286.png,NA,https://davesredistricting.org/maps#viewmap::e3fd663e-4c82-4d10-b11c-5d1f0c775b0b
KS,2018,125,lower,Districts for the 2018 Lower State House,KS 2018 Lower State House,eb9f1289-f1cb-49c5-bb8d-a87fec0d150c,a14377da-f25d-4a42-b51a-c9b170f0202d.png,NA,https://davesredistricting.org/maps#viewmap::eb9f1289-f1cb-49c5-bb8d-a87fec0d150c
KS,2018,40,upper,Districts for the 2018 Upper State House,KS 2018 Upper State House,7db8407a-01bb-43ac-8a82-925fd859c592,c9fc194f-2f39-4811-b8bc-d6d91a022509.png,NA,https://davesredistricting.org/maps#viewmap::7db8407a-01bb-43ac-8a82-925fd859c592
KS,2020,4,congress,KS 2020 Congressional,KS 2020 Congressional,d5273801-39a6-4ad6-89fe-c0d1d7460680,NA,NA,https://davesredistricting.org/maps#viewmap::d5273801-39a6-4ad6-89fe-c0d1d7460680
KS,2020,125,lower,KS 2020 State House,KS 2020 State House,bfa7a21c-4216-4d1e-b00e-350cb9788623,NA,NA,https://davesredistricting.org/maps#viewmap::bfa7a21c-4216-4d1e-b00e-350cb9788623
KS,2020,40,upper,KS 2020 State Senate,KS 2020 State Senate,8de87032-ce70-47b8-8ba0-c3f0846eedec,NA,NA,https://davesredistricting.org/maps#viewmap::8de87032-ce70-47b8-8ba0-c3f0846eedec
KS,2022,4,congress,KS 2022 Congressional,KS 2022 Congressional,2ea884cd-5687-48b4-879a-4f780d3de1cf,NA,NA,https://davesredistricting.org/maps#viewmap::2ea884cd-5687-48b4-879a-4f780d3de1cf
KS,2022,125,lower,KS 2022 State House,KS 2022 State House,781f29f1-259e-4235-8b14-85137bc38893,NA,NA,https://davesredistricting.org/maps#viewmap::781f29f1-259e-4235-8b14-85137bc38893
KS,2022,40,upper,KS 2022 State Senate,KS 2022 State Senate,2bc2f97f-a285-4596-9fcd-6108056b229f,NA,NA,https://davesredistricting.org/maps#viewmap::2bc2f97f-a285-4596-9fcd-6108056b229f
KY,115,6,congress,Districts for the 116th US Congress,KY 116th Congressional,f1f47fec-7014-4008-a104-8b79b35fda3d,0bff73f4-bc94-4fad-908e-3d395c01bd69.png,NA,https://davesredistricting.org/maps#viewmap::f1f47fec-7014-4008-a104-8b79b35fda3d
KY,116,6,congress,Districts for the 116th US Congress,KY 116th Congressional,f1f47fec-7014-4008-a104-8b79b35fda3d,0bff73f4-bc94-4fad-908e-3d395c01bd69.png,NA,https://davesredistricting.org/maps#viewmap::f1f47fec-7014-4008-a104-8b79b35fda3d
KY,2018,100,lower,Districts for the 2018 Lower State House,KY 2018 Lower State House,349fa36e-d601-4dc1-8215-dda34470d5fc,ac7163ac-50c9-4724-84c2-a89267d1d558.png,NA,https://davesredistricting.org/maps#viewmap::349fa36e-d601-4dc1-8215-dda34470d5fc
KY,2018,38,upper,Districts for the 2018 Upper State House,KY 2018 Upper State House,85adc6ee-b822-4e60-b2f6-bebaf9e2e53a,ffb38f02-9c54-4202-97d7-dd14ecce6286.png,NA,https://davesredistricting.org/maps#viewmap::85adc6ee-b822-4e60-b2f6-bebaf9e2e53a
KY,2020,6,congress,KY 2020 Congressional,KY 2020 Congressional,4f9930e4-072e-452d-9b5f-12cab0427ece,NA,NA,https://davesredistricting.org/maps#viewmap::4f9930e4-072e-452d-9b5f-12cab0427ece
KY,2020,100,lower,KY 2020 State House,KY 2020 State House,32bc1182-d63b-49d4-b768-b83e75257931,NA,NA,https://davesredistricting.org/maps#viewmap::32bc1182-d63b-49d4-b768-b83e75257931
KY,2020,38,upper,KY 2020 State Senate,KY 2020 State Senate,de0f45b2-4654-468b-83a5-eccb63e71bb4,NA,NA,https://davesredistricting.org/maps#viewmap::de0f45b2-4654-468b-83a5-eccb63e71bb4
KY,2022,6,congress,KY 2022 Congressional,KY 2022 Congressional,0ec1616e-7ed6-4f84-b20d-dcc51221b2bf,NA,NA,https://davesredistricting.org/maps#viewmap::0ec1616e-7ed6-4f84-b20d-dcc51221b2bf
KY,2022,100,lower,KY 2022 State House,KY 2022 State House,8eed4db7-46cd-4e09-a179-c0a7e821a963,NA,NA,https://davesredistricting.org/maps#viewmap::8eed4db7-46cd-4e09-a179-c0a7e821a963
KY,2022,38,upper,KY 2022 State Senate,KY 2022 State Senate,8ef6d39b-ae52-4587-8ed1-88b781dd4300,NA,NA,https://davesredistricting.org/maps#viewmap::8ef6d39b-ae52-4587-8ed1-88b781dd4300
LA,115,6,congress,Districts for the 116th US Congress,LA 116th Congressional,e1c9b1d0-22a4-4330-b615-27dab9740b02,95846016-cb7c-4935-8836-392a0764a8ac.png,NA,https://davesredistricting.org/maps#viewmap::e1c9b1d0-22a4-4330-b615-27dab9740b02
LA,116,6,congress,Districts for the 116th US Congress,LA 116th Congressional,e1c9b1d0-22a4-4330-b615-27dab9740b02,95846016-cb7c-4935-8836-392a0764a8ac.png,NA,https://davesredistricting.org/maps#viewmap::e1c9b1d0-22a4-4330-b615-27dab9740b02
LA,2018,105,lower,Districts for the 2018 Lower State House,LA 2018 Lower State House,5f3692f2-6b4b-473b-b23b-9146023f1039,374f7e7a-17ba-479c-ae31-6737076bbc6b.png,NA,https://davesredistricting.org/maps#viewmap::5f3692f2-6b4b-473b-b23b-9146023f1039
LA,2018,39,upper,Districts for the 2018 Upper State House,LA 2018 Upper State House,9d69e362-cb04-4054-98d2-3b63f7eb50b3,d69ecb5f-8d6d-499d-8c7c-12c3f4a6f8e5.png,NA,https://davesredistricting.org/maps#viewmap::9d69e362-cb04-4054-98d2-3b63f7eb50b3
LA,2020,6,congress,LA 2020 Congressional,LA 2020 Congressional,ce81ca33-09da-40a2-8803-35e9cf0a6469,NA,NA,https://davesredistricting.org/maps#viewmap::ce81ca33-09da-40a2-8803-35e9cf0a6469
LA,2020,105,lower,LA 2020 State House,LA 2020 State House,10a698a3-8b55-46b4-ab7d-6bd9c6fdf724,NA,NA,https://davesredistricting.org/maps#viewmap::10a698a3-8b55-46b4-ab7d-6bd9c6fdf724
LA,2020,39,upper,LA 2020 State Senate,LA 2020 State Senate,9515fb0b-c59e-4240-a495-6a6f8abcb9f5,NA,NA,https://davesredistricting.org/maps#viewmap::9515fb0b-c59e-4240-a495-6a6f8abcb9f5
LA,2022,6,congress,LA 2022 Congressional,LA 2022 Congressional,42873bd9-ce68-4ee1-878e-be420dbf0ee3,NA,NA,https://davesredistricting.org/maps#viewmap::42873bd9-ce68-4ee1-878e-be420dbf0ee3
LA,2022,105,lower,LA 2022 State House,LA 2022 State House,d63b737c-a8b3-46e9-8855-aa20a728c2b5,NA,NA,https://davesredistricting.org/maps#viewmap::d63b737c-a8b3-46e9-8855-aa20a728c2b5
LA,2022,39,upper,LA 2022 State Senate,LA 2022 State Senate,12eedba5-68de-4ab4-a3bb-7f59d9268041,NA,NA,https://davesredistricting.org/maps#viewmap::12eedba5-68de-4ab4-a3bb-7f59d9268041
LA,2024,6,congress,LA 2024 Congressional,LA 2024 Congressional,2ecbe5cd-461e-41e9-a954-2368bbe8b0a2,NA,NA,https://davesredistricting.org/maps#viewmap::2ecbe5cd-461e-41e9-a954-2368bbe8b0a2
MA,115,9,congress,Districts for the 116th US Congress,MA 116th Congressional,eafbf1a0-c836-4908-a607-aa6b5c63b942,bb01f52e-0cf7-416c-a8ad-cafd34ca3c6a.png,NA,https://davesredistricting.org/maps#viewmap::eafbf1a0-c836-4908-a607-aa6b5c63b942
MA,116,9,congress,Districts for the 116th US Congress,MA 116th Congressional,eafbf1a0-c836-4908-a607-aa6b5c63b942,bb01f52e-0cf7-416c-a8ad-cafd34ca3c6a.png,NA,https://davesredistricting.org/maps#viewmap::eafbf1a0-c836-4908-a607-aa6b5c63b942
MA,2018,160,lower,Districts for the 2018 Lower State House,MA 2018 Lower State House,9fb9b073-c5d3-4b93-9c93-c02212a023d4,28e5c142-fe66-4b27-8498-ac1ca0e33896.png,NA,https://davesredistricting.org/maps#viewmap::9fb9b073-c5d3-4b93-9c93-c02212a023d4
MA,2018,40,upper,Districts for the 2018 Upper State House,MA 2018 Upper State House,4e245ae5-a6a0-4cbf-ab40-58a36bc387d0,ad937b84-00d1-4802-9b99-c368bc1caead.png,NA,https://davesredistricting.org/maps#viewmap::4e245ae5-a6a0-4cbf-ab40-58a36bc387d0
MA,2020,9,congress,MA 2020 Congressional,MA 2020 Congressional,63f8c635-75ee-4a08-a798-cec3342feb49,NA,NA,https://davesredistricting.org/maps#viewmap::63f8c635-75ee-4a08-a798-cec3342feb49
MA,2020,160,lower,MA 2020 State House,MA 2020 State House,afbc6011-bf8b-4303-adc3-e322b216e025,NA,NA,https://davesredistricting.org/maps#viewmap::afbc6011-bf8b-4303-adc3-e322b216e025
MA,2020,40,upper,MA 2020 State Senate,MA 2020 State Senate,e6ebd737-2229-495e-9178-1fc902c383a3,NA,NA,https://davesredistricting.org/maps#viewmap::e6ebd737-2229-495e-9178-1fc902c383a3
MA,2022,9,congress,MA 2022 Congressional,MA 2022 Congressional,791f8174-e00d-4baf-9b0a-206a298eb28b,NA,NA,https://davesredistricting.org/maps#viewmap::791f8174-e00d-4baf-9b0a-206a298eb28b
MA,2022,160,lower,MA 2022 State House,MA 2022 State House,f4bfa2f3-1e73-4e0b-a237-cc2aa2e611b8,NA,NA,https://davesredistricting.org/maps#viewmap::f4bfa2f3-1e73-4e0b-a237-cc2aa2e611b8
MA,2022,40,upper,MA 2022 State Senate,MA 2022 State Senate,b32decd8-3ed9-4ab2-876b-c92cfa798e33,NA,NA,https://davesredistricting.org/maps#viewmap::b32decd8-3ed9-4ab2-876b-c92cfa798e33
MD,115,8,congress,Districts for the 116th US Congress,MD 116th Congressional,52a6108a-4b23-4e22-a4a4-c19837c0bca2,498a0084-21d2-4b3f-bb45-e97270f46320.png,NA,https://davesredistricting.org/maps#viewmap::52a6108a-4b23-4e22-a4a4-c19837c0bca2
MD,116,8,congress,Districts for the 116th US Congress,MD 116th Congressional,52a6108a-4b23-4e22-a4a4-c19837c0bca2,498a0084-21d2-4b3f-bb45-e97270f46320.png,NA,https://davesredistricting.org/maps#viewmap::52a6108a-4b23-4e22-a4a4-c19837c0bca2
